x,y,SF
3634.24,3157.29,12
3472.59,3158.72,12
3234.99,3160.84,12
2685.84,3165.71,10
2247.58,3392.19,10
1767.49,3352.16,10
1279.41,3228,10
1066.77,3157.41,10
748.39,3161.39,10
3474.32,2349.32,11
3677.75,1671.78,10
3563.72,2044.7,11
4856.5,2726.75,8
5083.2,2578.38,7
5472.59,2504.3,7
3742.76,1459.98,10
3884.16,1012.4,10
4116.18,678.01,10
4934.7,493.7,9
5389.15,396.38,9
5633.43,2314.61,7
5830.15,299.88,10
6603.23,1368.74,9
5720.73,2142.34,7
6134.91,695.72,9
6046.78,1002.14,7
6296.99,1149.52,8
6338.31,1368,7
4866.5,2726.75,7
4298.84,3131.27,10
4891.22,2743.28,7
4799.05,3126.96,9
4924.98,2901.58,8
5006.18,3125.18,9
5948.44,1943.57,7
6048.43,1824.95,7
6329.53,1468.29,7
4774.2,2681.4,8
3687.75,1671.78,10
573.25,3084.96,11
3986.9,1771.14,9
6723.3,1369.24,9
4285.98,1847.01,8
572.25,2736.73,10
408.35,3082.78,11
6938.6,1370.13,10
4813.18,2596.95,7
4512.62,1848.32,7
4744.82,2364.13,7
4516.18,1957.82,7
371.61,628.61,11
571.89,2609.21,9
4351.27,1605.62,7
571.1,2335.64,9
4360.54,1197.22,8
6459.42,2146.16,8
5643.43,2314.61,7
7158.59,1430.81,11
370.01,377.17,12
569.89,1913.82,8
4649.54,1072.95,7
6840.57,2459.17,10
6080.86,2806.55,8
7160.71,1908.42,11
6724.86,1178.59,9
568.73,1511.07,9
278.6,376.69,12
4516.57,2642.38,8
6840.57,2488.19,10
4706.27,1091.61,7
5850.04,295.5,10
7160.83,1940.54,11
6108.18,2823.15,8
6956.6,711.26,11
6948.6,1370.13,10
6940.32,1137.64,10
0.16,873.41,12
567.79,1184.46,9
380.01,377.17,12
4270.86,2366.2,9
6803.37,2751.32,10
4863.53,1093.64,7
5882.03,288.44,10
7200.5,1984.76,11
6531.43,2806.07,10
